Country,Country_Code,Year,Fertility_Rate,Urban_Population_Percent,Total_Population,Water_Access_Percent,Unemployment_Rate,Sanitary_Expense_Per_GDP,Life_Expectancy,Life_Expectancy_Female,Life_Expectancy_Male,Infant_Deaths,GDP_Per_Capita,Hospital_Beds_Per_1000,Female_Population,Male_Population,Alcohol_Consumption_Per_Capita,Immunization_Rate,Sanitary_Expense_Per_Capita,CO2_Exposure_Percent,Air_Pollution,Labour_Force_Total,Tuberculosis_Per_100000,Suicide_Rate_Percent,Obesity_Rate_Percent,Underweight_Rate_Percent,Overweight_Rate_Percent,Safe_Water_Access_Percent,log_GDP_Per_Capita,Life_Expectancy_Score,log_GDP_Per_Capita_Score,Safe_Water_Access_Percent_Score,Unemployment_Rate_Score,Immunization_Rate_Score,Aggregate_Score
Afghanistan,AFG,2012,5.83,24.16,30466479.0,21.1239963442836,7.909,7.89716864,61.923,63.514,60.317,70669.0,653.417474910283,0.47,15067373.0,15399105.0,0.004,67.0,52.61354065,70.9223165078033,70.9223165078033,7520865.0,189.0,3.68,10.7,10.15,31.55,46.68,6.482216243391958,0.3836078965282505,0.15784024360183752,0.2832369942196532,0.7806891903277446,0.6,0.44107486493549714
Afghanistan,AFG,2013,5.696,24.373,31541209.0,22.0344697184414,7.919,8.80596447,62.417,64.027,60.791,70906.0,638.73318101404,0.46,15594637.0,15946572.0,0.004,64.0,56.30554199,73.1318159038053,73.1318159038053,7881567.0,189.0,3.66,11.55,10.79,32.73,49.45,6.459486810077766,0.3970592239618788,0.15458797991155923,0.3204731818792849,0.780408346673407,0.5625,0.44300574648522595
Afghanistan,AFG,2014,5.56,24.587,32716210.0,22.9443007139289,7.915,9.52887821,62.545,64.274,60.812,70288.0,626.512929086139,0.46,16172321.0,16543889.0,0.004,62.0,60.18957901,77.1437275538632,77.1437275538632,8285362.0,189.0,3.6,10.44,10.17,33.95,52.25,6.440169411132183,0.40054458815520766,0.1518239305702099,0.35811264954967065,0.780520684135142,0.5375,0.445700370482046
Afghanistan,AFG,2015,5.405,24.803,33753499.0,23.8535895499243,9.011,10.10534763,62.659,64.576,60.76,70068.0,566.881129708434,0.44,16682054.0,17071446.0,0.009,64.0,60.05854034,73.4908176326415,73.4908176326415,8630724.0,189.0,3.57,11.19,10.52,35.19,55.09,6.3401496339680445,0.40364874063989103,0.13751250075653568,0.39628982390106204,0.7497402196197378,0.5625,0.4499382569834453
Afghanistan,AFG,2016,5.262,25.02,34636207.0,24.7622201760444,10.1,11.81859016,63.136,65.096,61.193,69144.0,523.053011984748,0.45,17115346.0,17520861.0,0.013,66.0,61.48645782,72.7659101386992,72.7659101386992,8913938.0,189.0,3.61,11.99,7.88,36.45,57.97,6.259682820275719,0.41663716814159296,0.12599882626996017,0.4350047049334588,0.7191563456623697,0.5875,0.45685940900147626
Afghanistan,AFG,2017,5.129,25.25,35643418.0,25.6714172375918,11.184,12.62081718,63.016,66.099,60.105,67644.0,526.140801025756,0.42,17614722.0,18028696.0,0.017,66.0,66.90921783,65.8623470043896,65.8623470043896,9254593.0,189.0,3.44,10.04,7.39,37.73,60.89,6.265568859475597,0.4133696392103471,0.12684103607364083,0.4742572926468612,0.6887128935321708,0.5875,0.45813617229260395
Afghanistan,AFG,2018,5.002,25.495,36686784.0,26.5813145377719,11.206,14.20841885,63.081,66.458,59.923,66824.0,492.090630986151,0.4,18136922.0,18549862.0,0.016,72.0,71.33430481,67.2271774798558,67.2271774798558,9242721.0,189.0,3.52,10.65,6.92,39.0,63.85,6.1986629088492995,0.415139550714772,0.11726773123679779,0.514047587041269,0.6880950374926279,0.6625,0.47940998129709333
Afghanistan,AFG,2019,4.87,25.754,37769499.0,27.4917341128464,11.224,14.83131981,63.565,66.677,60.619,66092.0,497.741431256813,0.38,18679089.0,19090409.0,0.016,72.0,74.23410797,58.3308722306744,58.3308722306744,9220323.0,189.0,3.61,11.29,6.49,40.27,66.85,6.2100807278424615,0.42831858407079637,0.11890146128278375,0.5543755881166823,0.6875895189148201,0.6625,0.49033703047701654
Afghanistan,AFG,2020,4.75,26.026,38972230.0,28.4025051496417,11.71,15.53361416,62.575,65.432,59.866,65340.0,512.055098005672,0.34,19279930.0,19692301.0,0.011,70.0,80.28805542,46.0870936659706,46.0870936659706,9105733.0,183.0,,11.95,6.08,41.54,69.89,6.238432232541941,0.4013614703880191,0.12295816467808117,0.5952412958731013,0.6739405173140113,0.6375,0.4862002896506425
Afghanistan,AFG,2021,4.643,26.314,40099462.0,29.3138430014086,11.934,21.82794952,61.982,65.279,58.915,64996.0,355.777826392648,0.36,19844584.0,20254878.0,,66.0,81.31976318,,,9356574.0,185.0,,12.64,5.7,42.81,72.96,5.874306452864351,0.38521443158611296,0.07085686344589215,0.6365102836402742,0.6676496194568485,0.5875,0.46954623962582553
